CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
BARRKIRA,-12.0081176,136.4655837,"Barrkira, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106306,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706004,Marthakal Homelands - Galiwinku,706,Nhulunbuy
BARUNGA,-14.5250033,132.8647963,"Barunga, Roper Gulf Region, Northern Territory, 0852, Australia",70205106501,702051065,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705003,Elsey - Roper,705,Katherine
BATCHELOR,-13.0468045,131.0283583,"Batchelor, Coomalie Shire, Northern Territory, 0845, Australia",70203105710,702031057,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,703004,Cox - Finniss - Coomalie,703,Darwin
BELYUEN,-12.552481,130.6831795,"Belyuen, Belyuen Shire, Northern Territory, 0822, Australia",70203105702,702031057,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,703004,Cox - Finniss - Coomalie,703,Darwin
BESWICK,-14.5544974,133.1139933,"Beswick, Roper Gulf Region, Northern Territory, Australia",70205106502,702051065,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705003,Elsey - Roper,705,Katherine
BICKERTON ISLAND,-13.7593644,136.1821004,"Bickerton Island, Groote Archipelago Region, Northern Territory, Australia",70204106208,702041062,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706001,Anindilyakwa (Groote),706,Nhulunbuy
BINJARI,-14.549132,132.1859517,"Binjari, Town of Katherine, Northern Territory, 0852, Australia",70205106714,702051067,Katherine,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705005,Katherine Town,705,Katherine
BIRANY BIRANY,-12.8162633,136.4766904,"Birany Birany, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106304,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
BONYA,-22.7888282,136.1686851,"Orrtipa-Thurra, Central Desert Region, Northern Territory, Australia",70201105215,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709005,Atitjere - Akarnenehe - Engawala,709,Apatula
BONYA,-22.7888282,136.1686851,"Orrtipa-Thurra, Central Desert Region, Northern Territory, Australia",70201105215,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709005,Atitjere - Akarnenehe - Engawala,709,Apatula
